Nr;Navn;Antal;procent;årstal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Luna;169;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Lea;166;5;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Thea;166;5;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Asta;165;5;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Selma;158;5;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Emily;155;5;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;William;806;25;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Noah;716;22;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Lucas;626;19;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Victor;616;19;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Mikkel;587;18;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Magnus;581;18;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Frederik;579;18;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Mathias;575;18;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Oliver;556;17;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Emil;546;17;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Oscar;531;17;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Sebastian;513;16;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Gustav;492;15;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Alexander;485;15;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Malthe;477;15;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Mads;470;15;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Christian;469;15;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Elias;440;14;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Marcus;427;13;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Tobias;413;13;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Silas;393;12;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Jonas;389;12;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Benjamin;381;12;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Anton;380;12;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Carl;368;11;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Rasmus;367;11;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Jacob;360;11;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Andreas;327;10;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Villads;324;10;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Kasper;309;10;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Nikolaj;304;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Simon;301;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Valdemar;299;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;August;286;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Nicklas;275;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Adam;259;8;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Jonathan;258;8;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Felix;253;8;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
